@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
C,20,5.23,7.14,1.26,3.89,0.07,-0.3,0.0,4.38,0.3,1.0,1,0.09,0.8,0,0.19,0.0,0,?,?,?,?,?,2,5,0,GO0000028@GO0002181@GO0003729@GO0003735@GO0006407@GO0006412@GO0006450@GO0019843@GO0022627
D,21,0.25,0.33,0.26,0.46,0.07,-0.02,0.22,0.33,0.13,0.2,0,0.09,0.8,0,0.08,2.75,1,?,?,?,?,?,2,?,0,GO0007117@GO0007124@GO0008496@GO0009272@GO0016052@GO0046658@GO0071555
D,20,7.05,7.67,6.58,6.59,0.07,0.05,-0.12,6.97,0.13,0.4,0,0.18,0.4,0,0.11,1.09,0,?,?,?,?,?,?,?,0,GO0000056@GO0002181@GO0003684@GO0003723@GO0003735@GO0003906@GO0005634@GO0006281@GO0006407@GO0008534@GO0022627@GO0030688@GO0034236
D,20,0.1,0.17,0.17,0.15,0.07,0.08,0.02,0.15,0.26,0.3,0,0.13,0.5,0,0.22,0.09,0,1,?,?,?,?,?,2,0,GO0004817@GO0005524@GO0006423@GO0046872
D,21,1.35,1.63,1.3,1.36,0.07,0.07,0.12,1.41,0.07,1.0,0,0.17,0.4,0,0.13,0.92,0,?,?,?,?,?,?,2,0,GO0001054@GO0001172@GO0003677@GO0005654@GO0005665@GO0005666@GO0005736@GO0006360@GO0006366@GO0006383@GO0006386@GO0042254@GO0042797
D,20,0.1,0.21,0.14,0.25,0.07,0.0,0.11,0.18,0.31,0.0,0,0.18,0.4,0,0.26,0.42,0,1,?,?,?,4,2,?,0,GO0005935@GO0005938@GO0006897@GO0016491
D,20,0.1,0.16,0.11,0.13,0.07,0.0,0.06,0.13,0.14,0.0,0,0.12,0.6,0,0.25,0.24,0,1,?,?,?,4,2,2,0,GO0000026@GO0000031@GO0000032@GO0005794@GO0006487@GO0006493@GO0016020@GO0016021@GO0031505
D,21,0.99,1.06,0.93,0.67,0.07,-0.02,-0.03,0.91,0.15,0.1,0,0.18,0.4,0,0.14,0.21,0,?,?,?,?,?,?,?,0,GO0000054@GO0000463@GO0000466@GO0003743@GO0005634@GO0005730@GO0005737@GO0005829@GO0006364@GO0030687@GO0042256@GO0042273@GO0043022@GO0043023@GO1902626
D,20,0.33,0.31,0.6,0.47,0.07,0.18,0.0,0.43,0.12,1.5,0,0.14,0.5,0,0.11,0.0,0,?,?,?,?,?,?,4,0,GO0004812@GO0004821@GO0005524@GO0005737@GO0005739@GO0006427@GO0032543
A,20,2.24,1.79,2.23,0.92,0.06,0.11,-0.17,1.8,0.09,1.2,0,0.09,0.7,0,0.12,1.42,0,?,?,?,?,?,?,?,0,GO0003849@GO0009073@GO0009423
A,20,3.84,4.11,7.41,4.11,0.06,0.13,0.04,4.87,0.11,1.2,0,0.06,1.0,0,0.1,0.4,0,?,?,?,?,?,?,?,0,GO0003924@GO0005525@GO0005794@GO0006888@GO0006893@GO0015031@GO0016236
A,21,0.1,0.12,0.11,0.1,0.06,-0.05,0.0,0.1,0.05,1.0,0,0.21,0.3,0,0.02,0.0,0,1,?,?,1,?,?,5,0,GO0000278@GO0000447@GO0000448@GO0000472@GO0000480@GO0004842@GO0005730@GO0005737@GO0006351@GO0006355@GO0006511@GO0006913@GO0006997@GO0016567@GO0051028@GO0061630
B,20,1.33,1.02,1.42,0.9,0.06,0.07,-0.08,1.17,0.19,0.4,0,0.11,0.5,0,0.21,0.38,0,?,?,?,?,?,?,?,0,GO0005635@GO0005737@GO0006606@GO0006913@GO0008536
B,41,3.81,4.11,4.26,2.99,0.06,0.01,-0.17,3.79,0.17,0.1,0,0.17,0.4,0,0.16,1.06,0,?,?,?,?,?,?,?,0,GO0000463@GO0000470@GO0002181@GO0003723@GO0003735@GO0005737@GO0022625@GO0042273
B,21,0.11,0.15,0.51,0.43,0.06,0.35,0.32,0.3,0.23,1.5,1,0.07,0.9,0,0.22,1.45,1,?,?,?,?,2,2,2,0,GO0003755@GO0005576@GO0006457
B,20,0.94,1.16,1.05,0.87,0.06,0.0,-0.05,1.01,0.1,0.0,0,0.1,0.6,0,0.1,0.5,0,?,?,?,?,5,?,?,0,GO0002181@GO0005524@GO0005737@GO0005844@GO0006364@GO0006450@GO0006452@GO0051082@GO0051083
C,41,0.41,0.58,0.36,0.6,0.06,0.0,0.02,0.49,0.13,0.0,0,0.16,0.4,0,0.19,0.11,0,?,?,?,?,5,?,2,0,GO0003938@GO0005737@GO0006177@GO0006183@GO0046872
D,20,0.26,0.25,0.88,0.41,0.06,0.41,0.19,0.45,0.17,2.4,1,0.14,0.4,0,0.1,1.9,0,?,?,?,?,2,2,2,0,GO0000122@GO0000978@GO0003690@GO0003697@GO0003729@GO0004197@GO0005737@GO0005739@GO0008234@GO0009636@GO0043418@GO0046677
D,20,0.36,0.58,0.87,0.92,0.06,0.21,0.19,0.68,0.12,1.8,1,0.17,0.4,0,0.15,1.27,0,?,?,?,?,?,?,?,0,GO0005743@GO0005744@GO0005758@GO0008320@GO0015450@GO0030150@GO0030943@GO0031305
D,20,0.1,0.18,0.23,0.2,0.06,0.0,-0.01,0.18,0.22,0.0,0,0.17,0.4,0,0.21,0.05,0,1,?,?,?,4,2,?,0,GO0000175@GO0000289@GO0000932@GO0003723@GO0005634@GO0005737@GO0006357@GO0006368@GO0017148@GO0030015@GO0032968@GO0043928@GO0046872
D,20,0.19,0.24,0.21,0.48,0.06,0.07,0.33,0.28,0.1,0.7,0,0.17,0.4,0,0.17,1.94,1,?,?,?,?,2,?,?,0,GO0004638@GO0005524@GO0006144@GO0006164@GO0006189@GO0046872
D,64,1.87,2.69,2.54,2.07,0.06,0.06,-0.01,2.29,0.1,0.6,0,0.11,0.5,0,0.08,0.13,0,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0022625@GO0042273
B,20,4.53,4.95,3.95,1.99,0.05,0.01,-0.34,3.86,0.21,0.0,0,0.16,0.3,0,0.13,2.62,1,?,?,?,?,?,?,?,0,GO0000006@GO0005887@GO0071578
B,21,2.26,2.95,6.31,2.21,0.05,0.33,0.09,3.43,0.18,1.8,1,0.21,0.2,0,0.13,0.69,0,?,?,?,?,?,?,?,0,GO0000062@GO0001300@GO0005576@GO0008289@GO0036042@GO0042761
B,21,0.2,0.37,0.14,0.33,0.05,-0.16,0.05,0.26,0.14,1.1,0,0.14,0.4,0,0.22,0.23,0,?,?,?,?,?,?,2,0,GO0004642@GO0005524@GO0005737@GO0006164@GO0006189@GO0006541@GO0046872
B,20,0.37,0.59,1.38,0.11,0.05,0.41,-0.6,0.61,0.09,4.6,1,0.08,0.6,0,0.19,3.26,1,?,?,?,?,?,?,1,0,GO0005759@GO0005829@GO0008941@GO0009636@GO0010494@GO0016966@GO0019825@GO0020037@GO0034599@GO0046210@GO0046872@GO0071218@GO0071500@GO0071949@GO1902170
B,21,0.13,0.17,0.2,0.24,0.05,0.06,0.13,0.19,0.08,0.8,0,0.04,1.3,0,0.13,1.0,0,?,?,?,?,?,?,?,0,GO0005634@GO0006511@GO0008540@GO0030234@GO0030674@GO0034515@GO0042176@GO0043161
B,20,6.8,6.52,4.94,16.0,0.05,-0.05,0.43,8.55,0.21,0.2,0,0.11,0.5,0,0.22,1.95,1,?,?,?,?,?,?,?,0,GO0004784@GO0005507@GO0005829@GO0010273@GO0016209@GO0019430@GO0046688@GO0046870@GO0071585
C,21,0.8,1.3,0.7,1.16,0.05,0.0,-0.06,0.99,0.14,0.0,0,0.23,0.2,0,0.11,0.55,0,?,?,?,?,5,?,?,0,GO0005524@GO0005743@GO0005754@GO0005758@GO0005829@GO0015986@GO0046933@GO0046961
C,40,0.51,0.84,0.34,0.37,0.05,-0.18,0.0,0.52,0.09,2.0,0,0.32,0.2,0,0.17,0.0,0,?,?,?,?,?,?,5,0,GO0003746@GO0005085@GO0005634@GO0005840@GO0005853@GO0006414@GO0010494
C,20,0.76,0.93,0.57,2.35,0.05,0.0,0.39,1.15,0.13,0.0,0,0.13,0.4,0,0.13,3.0,1,?,?,?,?,5,2,2,0,GO0005634@GO0043565@GO0046872
D,20,0.14,0.28,0.26,0.13,0.05,0.04,-0.02,0.2,0.18,0.2,0,0.13,0.4,0,0.13,0.15,0,?,?,?,?,2,?,?,0,GO0000070@GO0004674@GO0004712@GO0004857@GO0005524@GO0006303@GO0006468@GO0018105@GO0030332@GO0030437@GO0034605@GO0044257@GO0051321@GO0071472
D,20,0.51,0.54,0.57,0.96,0.05,0.12,0.3,0.65,0.15,0.8,0,0.14,0.4,0,0.12,2.5,1,?,?,?,?,?,?,2,0,GO0004298@GO0005634@GO0005739@GO0010499@GO0019773@GO0034515@GO0042175@GO0043161
D,20,0.47,0.51,0.56,0.78,0.05,0.02,0.13,0.58,0.09,0.2,0,0.11,0.5,0,0.11,1.18,0,?,?,?,?,?,?,?,0,GO0000753@GO0005634@GO0006620@GO0010494@GO0045048@GO0072380
D,20,0.79,0.81,0.77,0.48,0.05,0.01,-0.18,0.71,0.15,0.1,0,0.16,0.3,0,0.11,1.64,0,?,?,?,?,?,?,?,0,GO0005777@GO0005778@GO0005779@GO0005783@GO0007031@GO0007165@GO0016559@GO0019395@GO0044375@GO1990429
D,20,1.34,1.16,2.53,1.54,0.05,0.23,0.01,1.64,0.11,2.1,1,0.09,0.6,0,0.09,0.11,0,?,?,?,?,?,?,?,0,GO0000026@GO0000032@GO0000139@GO0005794@GO0006487@GO0006493@GO0016021
D,21,3.54,3.26,5.34,4.02,0.05,0.06,-0.17,4.04,0.13,0.5,0,0.27,0.2,0,0.15,1.13,0,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0022627
A,20,0.38,0.43,0.44,0.13,0.04,0.03,-0.1,0.35,0.12,0.3,0,0.09,0.4,0,0.12,0.75,0,?,?,?,?,?,?,1,0,GO0000278@GO0000710@GO0000781@GO0003677@GO0005634@GO0005657@GO0006272@GO0006273@GO0006275@GO0006289@GO0006298@GO0006301@GO0006348@GO0007064@GO0030337@GO0030466@GO0034087@GO0035753@GO0042802@GO0043626@GO0070987@GO1902394@GO1903022
A,20,5.02,5.31,3.74,3.35,0.04,-0.14,-0.15,4.36,0.06,2.3,0,0.11,0.4,0,0.06,2.5,0,?,?,?,?,?,?,?,0,GO0000054@GO0002181@GO0005516@GO0005524@GO0005737@GO0005844@GO0006364@GO0006415@GO0006450@GO0006452@GO0016887@GO0042149@GO0051082@GO0051083
B,20,3.58,2.94,5.14,2.49,0.04,0.16,-0.02,3.54,0.17,0.9,0,0.18,0.2,0,0.15,0.13,0,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0022625
B,20,15.3,26.0,21.3,13.1,0.04,-0.07,-0.13,18.92,0.16,0.4,0,0.23,0.2,0,0.34,0.38,0,?,?,?,?,?,?,?,0,GO0000015@GO0000287@GO0000324@GO0004634@GO0005739@GO0006094@GO0006096@GO0009898@GO0032889
B,20,0.47,0.89,1.18,0.57,0.04,0.11,0.0,0.78,0.19,0.6,0,0.12,0.3,0,0.21,0.0,0,?,?,?,?,?,?,5,0,GO0004084@GO0005759@GO0009082@GO0009083@GO0009097@GO0009098@GO0009099@GO0019509@GO0052654@GO0052655@GO0052656
B,21,0.1,0.11,0.07,0.05,0.04,0.0,0.0,0.08,0.03,0.0,0,0.14,0.3,0,0.18,0.0,0,1,?,?,?,5,?,5,0,GO0001403@GO0002098@GO0002143@GO0005634@GO0005737@GO0005829@GO0007114@GO0031386@GO0032447@GO0034227@GO0034599@GO0042803
B,20,0.8,1.46,0.94,0.65,0.04,0.05,0.0,0.96,0.06,0.8,0,0.12,0.3,0,0.2,0.0,0,?,?,?,?,?,?,5,0,GO0004829@GO0005524@GO0005737@GO0006435
C,20,8.13,9.17,3.54,4.96,0.04,-0.25,-0.19,6.45,0.15,1.7,1,0.14,0.3,0,0.08,2.38,0,?,?,?,?,?,?,?,0,GO0000027@GO0002181@GO0003735@GO0005737@GO0022625@GO0070180
D,20,2.55,1.8,3.38,1.03,0.04,0.1,-0.39,2.19,0.11,0.9,0,0.15,0.3,0,0.1,3.9,1,?,?,?,?,?,?,?,0,GO0003674@GO0005575@GO0008150
D,20,1.09,0.9,2.69,1.08,0.04,0.47,-0.03,1.44,0.14,3.4,1,0.14,0.3,0,0.12,0.25,0,?,?,?,?,?,2,?,0,GO0004129@GO0005743@GO0005751@GO0005758@GO0006123
D,21,2.49,2.75,3.82,2.35,0.04,0.16,-0.06,2.85,0.14,1.1,0,0.12,0.3,0,0.18,0.33,0,?,?,?,?,?,?,?,0,GO0003985@GO0005737@GO0005829@GO0006635@GO0006696@GO0046872
D,20,0.76,0.47,0.67,1.16,0.04,-0.02,0.31,0.77,0.11,0.2,0,0.12,0.3,0,0.21,1.48,1,?,?,?,?,?,?,?,0,GO0002098@GO0005759@GO0006879@GO0008198@GO0016226@GO0036455@GO0051537@GO0051539@GO0097428
A,94,1.05,1.34,1.27,1.25,0.03,-0.05,-0.03,1.23,0.15,0.3,0,0.11,0.3,0,0.16,0.19,0,?,?,?,?,?,?,?,0,GO0000028@GO0000462@GO0002181@GO0003735@GO0006412@GO0019843@GO0022627
B,19,14.8,22.8,1.19,14.6,0.03,-0.89,-0.16,13.36,1.44,0.6,0,0.11,0.3,0,0.1,1.6,0,?,?,?,?,?,?,?,0,GO0002181@GO0003729@GO0003735@GO0006407@GO0022627@GO0042255
B,20,12.8,13.2,10.0,10.1,0.03,-0.05,-0.12,11.51,0.14,0.4,0,0.18,0.2,0,0.12,1.0,0,?,?,?,?,?,?,?,0,GO0000028@GO0000462@GO0000479@GO0002181@GO0003735@GO0006412@GO0022627@GO0046872
C,20,10.7,10.3,5.08,8.56,0.03,-0.17,-0.06,8.67,0.14,1.2,0,0.09,0.3,0,0.08,0.75,0,?,?,?,?,?,?,?,0,GO0002181@GO0005509@GO0005739@GO0005829@GO0005874@GO0008017@GO0010494@GO0030154@GO0034599
C,21,0.98,1.19,0.81,3.58,0.03,0.0,0.32,1.64,0.19,0.0,0,0.23,0.1,0,0.25,1.28,1,?,?,?,?,5,2,?,0,GO0003688@GO0003697@GO0005524@GO0005739@GO0005743@GO0005758@GO0005759@GO0005829@GO0006458@GO0008637@GO0016887@GO0042026@GO0042645@GO0044183@GO0045041@GO0050821@GO0051082@GO0051087@GO0051131@GO0051604@GO0061077
C,40,9.06,8.98,3.58,7.36,0.03,-0.29,-0.1,7.25,0.15,1.9,1,0.08,0.4,0,0.16,0.63,0,?,?,?,?,?,?,?,0,GO0001403@GO0001965@GO0005092@GO0007186@GO0017148@GO0022627@GO1902660@GO2001125
D,20,0.82,0.79,1.04,1.03,0.03,0.13,0.11,0.92,0.13,1.0,0,0.11,0.3,0,0.14,0.79,0,?,?,?,?,?,?,?,0,GO0004142@GO0005741@GO0005789@GO0005794@GO0006657@GO0016021@GO0046872
D,20,0.14,0.16,0.2,0.18,0.03,0.03,0.07,0.17,0.16,0.2,0,0.14,0.2,0,0.14,0.5,0,?,?,?,?,?,2,2,0,GO0000009@GO0005789@GO0006486@GO0006487@GO0006488@GO0016021@GO0052917
D,20,0.96,0.94,1.07,0.87,0.03,0.06,0.14,0.96,0.13,0.5,0,0.09,0.3,0,0.15,0.93,0,?,?,?,?,?,?,?,0,GO0003735@GO0005761@GO0005763@GO0006412@GO0032543
A,46,0.43,0.33,0.24,0.5,0.02,0.0,0.0,0.38,0.12,0.0,0,0.17,0.1,0,0.06,0.0,0,?,?,?,?,5,2,5,0,GO0002181@GO0003723@GO0003735@GO0006412@GO0022625
B,21,6.11,8.08,4.37,7.51,0.02,-0.06,0.07,6.52,0.2,0.3,0,0.16,0.1,0,0.15,0.47,0,?,?,?,?,?,?,?,0,GO0000220@GO0005774@GO0006623@GO0006878@GO0006879@GO0006897@GO0007033@GO0007035@GO0015078@GO0015991@GO0016021@GO0046961@GO1902600
B,21,0.89,0.77,1.13,1.21,0.02,0.06,0.08,1.0,0.15,0.4,0,0.13,0.2,0,0.1,0.8,0,?,?,?,?,?,?,?,0,GO0005634@GO0005737@GO0005758@GO0005829
B,21,0.18,0.25,0.12,0.11,0.02,0.0,0.0,0.17,0.04,0.0,0,0.05,0.4,0,0.18,0.0,0,?,?,?,?,5,?,5,0,GO0005789@GO0006888@GO0015031@GO0016192@GO0030134@GO0030173@GO0048280
B,32,3.68,4.12,3.82,2.64,0.02,-0.02,-0.11,3.57,0.21,0.1,0,0.19,0.1,0,0.16,0.69,0,?,?,?,?,?,2,?,0,GO0000027@GO0000055@GO0002181@GO0003735@GO0005634@GO0016567@GO0022625@GO0031386@GO0042254
B,21,0.1,0.09,0.13,0.15,0.02,0.01,0.23,0.11,0.23,0.0,0,0.15,0.1,0,0.22,1.05,1,1,?,?,?,2,?,?,0,GO0000027@GO0005829@GO0042273@GO0051082
C,20,7.13,9.29,3.06,6.95,0.02,-0.3,-0.02,6.61,0.27,1.0,1,0.12,0.2,0,0.09,0.22,0,?,?,?,?,1,?,?,0,GO0002181@GO0003723@GO0003735@GO0022625
C,21,0.36,0.44,0.32,0.42,0.02,0.0,0.02,0.39,0.13,0.0,0,0.23,0.1,0,0.18,0.11,0,?,?,?,?,5,2,?,0,GO0004164@GO0005737@GO0017183
C,20,0.4,0.47,0.3,0.64,0.02,0.0,0.12,0.44,0.13,0.0,0,0.1,0.2,0,0.18,0.67,0,1,?,1,?,5,?,2,0,GO0000148@GO0003843@GO0005739@GO0005886@GO0005934@GO0005935@GO0006075@GO0008360@GO0008361@GO0016021@GO0030479@GO0045807@GO0071555
D,21,0.94,1.18,1.16,0.86,0.02,0.0,-0.12,1.04,0.11,0.0,0,0.16,0.1,0,0.18,0.67,0,?,?,?,?,2,?,?,0,GO0000002@GO0003677@GO0005371@GO0005739@GO0005743@GO0006839@GO0006842@GO0006843@GO0015742@GO0016021@GO0042645
D,20,0.15,0.27,0.34,0.36,0.02,0.18,0.12,0.28,0.1,1.8,0,0.13,0.2,0,0.28,0.43,0,?,?,?,?,?,?,?,0,GO0000947@GO0004022@GO0005737@GO0006067@GO0006116@GO0008270
D,21,0.1,0.18,0.13,0.11,0.02,0.0,0.02,0.13,0.17,0.0,0,0.13,0.2,0,0.36,0.06,0,1,?,?,?,4,2,?,0,GO0005262@GO0005783@GO0005886@GO0006816@GO0015275@GO0016021@GO0098703
D,21,0.11,0.12,0.18,0.24,0.02,0.05,0.14,0.16,0.32,0.2,0,0.13,0.2,0,0.24,0.58,0,?,?,?,?,?,?,?,0,GO0000011@GO0003924@GO0005525@GO0005769@GO0005770@GO0005829@GO0005886@GO0006623@GO0006895@GO0006897@GO0010008@GO0030139@GO0031966@GO0032511@GO0036010@GO0036258@GO0061709
D,20,0.7,0.61,1.46,0.78,0.02,0.24,0.17,0.89,0.13,1.8,1,0.11,0.2,0,0.1,1.7,0,?,?,?,?,?,?,?,0,GO0008565@GO0030176@GO0031204@GO0031207
D,21,0.42,0.42,0.5,0.49,0.02,0.11,0.09,0.46,0.15,0.7,0,0.1,0.2,0,0.22,0.41,0,?,?,?,?,?,?,?,0,GO0000045@GO0000407@GO0000422@GO0005776@GO0005829@GO0006501@GO0006995@GO0008047@GO0015031@GO0016020@GO0016236@GO0016787@GO0032258@GO0034045@GO0034274@GO0034727@GO0044805@GO0061908@GO0120095
A,21,0.09,0.13,0.14,0.15,0.01,0.02,0.0,0.13,0.1,0.2,0,0.08,0.1,0,0.04,0.0,0,?,?,?,?,2,2,5,0,GO0004362@GO0005794@GO0005796@GO0005801@GO0009055@GO0015035@GO0016021@GO0034599@GO0042803@GO0045454@GO0046872@GO0051537
A,21,0.52,0.64,0.52,0.45,0.01,0.03,0.0,0.53,0.07,0.4,0,0.08,0.1,0,0.09,0.0,0,?,?,?,?,?,?,?,0,GO0002098@GO0005634@GO0005739@GO0006879@GO0016226@GO0030170@GO0031071@GO0034227@GO0044571@GO0046872@GO0051536@GO0070903@GO1990221
A,20,0.1,0.14,0.14,0.1,0.01,0.0,0.0,0.12,0.09,0.0,0,0.2,0.1,0,0.04,0.0,0,1,?,?,?,4,2,5,0,GO0001198@GO0001227@GO0005634@GO0006351@GO0008301@GO0043565
A,20,0.15,0.18,0.16,0.23,0.01,0.0,0.0,0.18,0.09,0.0,0,0.15,0.1,0,0.07,0.0,0,?,?,?,?,4,2,5,0,GO0000492@GO0000812@GO0005524@GO0005634@GO0006281@GO0006338@GO0006351@GO0006357@GO0016573@GO0031011@GO0035267@GO0043141@GO0043486@GO0097255
B,21,0.48,0.6,0.75,0.54,0.01,0.0,-0.05,0.59,0.09,0.0,0,0.12,0.1,0,0.11,0.45,0,?,?,?,?,5,?,?,0,GO0000070@GO0003924@GO0005200@GO0005525@GO0005816@GO0005828@GO0005880@GO0005881@GO0007010@GO0007017@GO0030473@GO0045143@GO0045298@GO0046677@GO0090316
B,21,0.18,0.2,0.18,0.28,0.01,0.0,-0.01,0.21,0.16,0.0,0,0.1,0.1,0,0.2,0.05,0,?,?,?,?,5,?,?,0,GO0005634@GO0005737@GO0007059@GO0015031@GO0031144@GO0031965@GO0071630@GO1990919@GO1990920
C,38,4.7,4.6,2.6,3.03,0.01,-0.17,-0.1,3.73,0.15,1.1,0,0.16,0.1,0,0.17,0.59,0,?,?,?,?,?,?,?,0,GO0000448@GO0002181@GO0003735@GO0022625@GO0030687
D,20,0.1,0.11,0.12,0.05,0.01,-0.0,0.0,0.1,0.26,0.1,0,0.12,0.1,0,0.32,0.0,0,1,?,?,?,2,2,4,0,GO0003723@GO0005634@GO0030488@GO0031515
D,20,0.19,0.25,0.25,0.23,0.01,0.01,0.0,0.23,0.12,0.1,0,0.12,0.1,0,0.16,0.0,0,?,?,?,?,?,?,4,0,GO0000329@GO0003924@GO0005525@GO0005886@GO0007266@GO0012505
D,20,1.18,1.05,2.05,0.93,0.01,0.28,-0.1,1.3,0.25,1.1,1,0.13,0.1,0,0.12,0.83,0,?,?,?,?,?,?,?,0,GO0004354@GO0005634@GO0005829@GO0006537@GO0019676
D,21,0.52,0.41,0.56,0.66,0.01,0.08,0.14,0.54,0.13,0.6,0,0.12,0.1,0,0.06,2.33,0,?,?,?,?,?,?,?,0,GO0000083@GO0000122@GO0000307@GO0004693@GO0005524@GO0005634@GO0005737@GO0006468@GO0006974@GO0016239@GO0016242@GO0031647@GO0032878@GO0032880@GO0043433@GO0045719@GO0045936@GO0050849@GO0071073@GO1990860
D,20,1.33,0.86,1.36,1.59,0.01,0.05,0.09,1.29,0.18,0.3,0,0.15,0.1,0,0.08,1.13,0,?,?,?,?,?,?,?,0,GO0004029@GO0004030@GO0005739@GO0005829@GO0006068@GO0006740@GO0009651@GO0019413@GO0033721
D,40,3.53,4.34,5.31,2.72,0.01,0.05,-0.14,3.98,0.11,0.5,0,0.12,0.1,0,0.08,1.75,0,?,?,?,?,?,?,?,0,GO0000462@GO0003735@GO0006412@GO0006450@GO0022627
A,21,0.1,0.04,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,?,1,1,5,5,5,0,GO0005789@GO0006470@GO0006629@GO0006998@GO0016021@GO0030435@GO0031965@GO0071072@GO0071595@GO1903740
A,21,0.1,0.05,0.07,0.1,0.0,0.0,0.0,0.08,0.09,0.0,0,0.27,0.0,0,0.02,0.0,0,1,?,?,1,5,4,5,0,GO0005847@GO0005849@GO0006378@GO0008033@GO0030846@GO0030847@GO0098789
A,21,0.1,0.0,0.08,0.1,0.0,0.0,0.0,0.08,0.09,0.0,0,0.33,0.0,0,0.13,0.0,0,1,1,?,1,5,5,5,0,GO0003987@GO0005524@GO0005634@GO0005739@GO0005783@GO0005829@GO0006085@GO0016208@GO0016573@GO0016880@GO0019427@GO0019654
A,20,0.1,0.08,0.09,0.1,0.0,0.0,0.0,0.09,0.09,0.0,0,0.2,0.0,0,0.02,0.0,0,1,?,?,1,4,4,5,0,GO0004354@GO0005634@GO0005829@GO0006537@GO0019676
A,20,0.12,0.05,0.19,0.15,0.0,0.01,0.0,0.13,0.11,0.1,0,0.33,0.0,0,0.08,0.0,0,?,?,?,?,?,5,5,0,GO0004639@GO0005524@GO0006164@GO0006189
A,21,0.1,0.15,0.1,0.1,0.0,-0.1,-0.0,0.1,0.05,2.0,0,0.33,0.0,0,0.05,0.4,0,?,?,1,1,?,5,1,0,GO0000138@GO0000139@GO0005545@GO0005635@GO0005640@GO0005769@GO0005783@GO0006887@GO0006897@GO0008142@GO0008289@GO0015248@GO0015918@GO0030011@GO0034727@GO0071561
A,20,0.13,0.06,0.1,0.1,0.0,0.0,0.0,0.1,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,?,?,?,1,5,5,3,0,GO0004366@GO0005783@GO0008654@GO0016024@GO0016287@GO0030176@GO0102420
A,20,0.1,0.0,0.08,0.1,0.0,0.0,0.0,0.08,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,?,1,5,5,5,0,GO0000436@GO0006366@GO0016602@GO0043457@GO0043565@GO0046982
A,36,0.1,0.0,0.08,0.1,0.0,0.0,0.0,0.08,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,?,1,5,5,5,0,GO0000398@GO0000932@GO0003723@GO0005688@GO0005730@GO0005732@GO0006364@GO0008033@GO0046540@GO0071011@GO0071013@GO1990726
A,21,0.1,0.0,0.07,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,?,1,5,5,5,0,GO0000777@GO0005200@GO0005634@GO0005737@GO0005816@GO0005819@GO0005874@GO0007020@GO0007049@GO0051301
A,21,0.1,0.05,0.07,0.1,0.0,0.0,0.0,0.08,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,?,?,1,5,5,5,0,GO0071555
A,21,0.21,0.05,0.15,0.21,0.0,0.0,0.0,0.16,0.09,0.0,0,0.33,0.0,0,0.08,0.0,0,?,?,?,?,5,5,5,0,GO0000045@GO0005634@GO0005737@GO0005977@GO0007030@GO0019888@GO0030433@GO0030437@GO0031134@GO0031468@GO0034727@GO0043130@GO0043161@GO0061025
